step,loss_function,target_value,elapsed_time
44200,6.42130e-03,3.86213e+00,1154
44300,6.53609e-03,3.86683e+00,1156
44400,7.85697e-03,3.86971e+00,1159
44500,6.89138e-03,3.86904e+00,1162
44600,9.60819e-03,3.87181e+00,1164
44700,5.47238e-03,3.86546e+00,1167
44800,7.02933e-03,3.88329e+00,1169
44900,5.94133e-03,3.87512e+00,1172
45000,7.48673e-03,3.87506e+00,1174
45100,6.68511e-03,3.88316e+00,1177
45200,8.35582e-03,3.88542e+00,1180
45300,6.99280e-03,3.87589e+00,1182
45400,5.95400e-03,3.88088e+00,1185
45500,6.04644e-03,3.89170e+00,1187
45600,7.77577e-03,3.89336e+00,1190
45700,6.34890e-03,3.89482e+00,1193
45800,6.94787e-03,3.89093e+00,1195
45900,7.97048e-03,3.89687e+00,1198
46000,6.01039e-03,3.90774e+00,1200
46100,6.15824e-03,3.90167e+00,1203
46200,6.64240e-03,3.90206e+00,1205
46300,5.95106e-03,3.89966e+00,1208
46400,6.65585e-03,3.92052e+00,1211
46500,7.97888e-03,3.91695e+00,1213
46600,6.34412e-03,3.91629e+00,1216
46700,6.56136e-03,3.90700e+00,1218
46800,6.34615e-03,3.91963e+00,1221
46900,7.12568e-03,3.92354e+00,1224
47000,6.94920e-03,3.92848e+00,1226
47100,8.83670e-03,3.92563e+00,1229
47200,6.12259e-03,3.92269e+00,1231
47300,8.59895e-03,3.93103e+00,1234
47400,5.97565e-03,3.92681e+00,1236
47500,9.17726e-03,3.93549e+00,1239
47600,6.23416e-03,3.93568e+00,1242
47700,9.86885e-03,3.94441e+00,1244
47800,7.00752e-03,3.93294e+00,1247
47900,7.74965e-03,3.93738e+00,1249
48000,7.72182e-03,3.93762e+00,1252
48100,5.51770e-03,3.93571e+00,1255
48200,5.44214e-03,3.94193e+00,1257
48300,6.62101e-03,3.94201e+00,1260
48400,6.17031e-03,3.93912e+00,1262
48500,6.65323e-03,3.94159e+00,1265
48600,6.78030e-03,3.94958e+00,1267
48700,9.82885e-03,3.95213e+00,1270
48800,7.24414e-03,3.95232e+00,1273
48900,7.73942e-03,3.95245e+00,1275
49000,5.94130e-03,3.95953e+00,1278
49100,7.24176e-03,3.95768e+00,1280
49200,6.48778e-03,3.96837e+00,1283
49300,7.07633e-03,3.96318e+00,1286
49400,5.94358e-03,3.96481e+00,1288
49500,6.45394e-03,3.96413e+00,1291
49600,6.51572e-03,3.97312e+00,1293
49700,6.86792e-03,3.96897e+00,1296
49800,5.30569e-03,3.97483e+00,1298
49900,5.47100e-03,3.96905e+00,1301
50000,6.51052e-03,3.97155e+00,1304
50100,5.36810e-03,3.97898e+00,1306
50200,8.19783e-03,3.98458e+00,1309
50300,6.60181e-03,3.98971e+00,1311
50400,6.21802e-03,3.98731e+00,1314
50500,7.18915e-03,3.98935e+00,1317
50600,5.99585e-03,3.98376e+00,1319
50700,4.55401e-03,3.98286e+00,1322
50800,4.96341e-03,3.99153e+00,1324
50900,6.47605e-03,3.98906e+00,1327
51000,5.36667e-03,3.99005e+00,1329
51100,5.41321e-03,3.99151e+00,1332
51200,6.05355e-03,3.99436e+00,1335
51300,6.45642e-03,4.00023e+00,1337
51400,4.98240e-03,3.99749e+00,1340
51500,5.83638e-03,4.00183e+00,1342
51600,6.49888e-03,4.00525e+00,1345
51700,5.66696e-03,4.00175e+00,1348
51800,8.45635e-03,4.00332e+00,1350
51900,6.06901e-03,3.99727e+00,1353
52000,6.74381e-03,4.00313e+00,1355
52100,5.35950e-03,4.00783e+00,1358
52200,5.96830e-03,4.01808e+00,1360
52300,9.18548e-03,4.01436e+00,1363
